City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ponta delgada,37.7333,-25.6667,297.55,88,40,3.09,PT,1722894578
1,yellowknife,62.456,-114.3525,295.6,41,75,1.79,CA,1722894579
2,ratnagiri,16.9833,73.3,298.97,90,100,4.32,IN,1722894580
3,feodosiya,45.0333,35.3833,297.28,62,49,5.13,UA,1722894582
4,coahuayana de hidalgo,18.7,-103.6583,304.22,67,97,3.94,MX,1722894583
5,kourou,5.1552,-52.6478,303.18,81,1,3.4,GF,1722894584
6,haiku-pauwela,20.9219,-156.3051,303.24,61,40,10.29,US,1722894585
7,manicore,-5.8092,-61.3003,303.63,31,41,1.02,BR,1722894586
8,mulayjah,27.271,48.4242,307.48,12,100,5.09,SA,1722894587
9,murzuq,25.9155,13.9184,305.24,13,0,5.11,LY,1722894588
10,iqaluit,63.7506,-68.5145,282.0,66,100,4.12,CA,1722894589
11,dampit,-8.2116,112.7493,292.95,94,76,1.31,ID,1722894590
12,new norfolk,-42.7826,147.0587,284.22,90,100,2.42,AU,1722894591
13,lihue,21.9789,-159.3672,302.73,69,0,4.63,US,1722894592
14,vargarda,58.0371,12.8091,289.75,97,100,1.37,SE,1722894593
15,vadso,70.0744,29.7487,284.64,93,20,4.63,NO,1722894594
16,albany,42.6001,-73.9662,301.86,74,81,3.7,US,1722894416
17,afaahiti,-17.75,-149.2833,302.08,78,57,6.52,PF,1722894596
18,edinburgh of the seven seas,-37.0676,-12.3116,286.63,95,96,10.1,SH,1722894597
19,fisterra,42.9049,-9.2629,294.27,95,36,1.92,ES,1722894598
20,tazovsky,67.4667,78.7,278.41,80,70,4.96,RU,1722894599
21,port-aux-francais,-49.35,70.2167,274.55,84,78,9.54,TF,1722894600
22,udachny,66.4167,112.4,282.46,84,98,8.48,RU,1722894602
23,bethel,41.3712,-73.414,303.37,70,26,3.5,US,1722894603
24,keflavik,64.0049,-22.5624,284.1,100,75,4.12,IS,1722894604
25,remire-montjoly,4.9167,-52.2667,303.17,70,0,3.6,GF,1722894605
26,margaret river,-33.95,115.0667,289.28,87,100,8.63,AU,1722894606
27,ola,59.5833,151.2833,286.88,78,100,2.51,RU,1722894607
28,karratha,-20.7377,116.8463,289.65,44,52,4.56,AU,1722894608
29,anna regina,7.2644,-58.5077,300.72,78,92,3.25,GY,1722894610
30,blackmans bay,-43.0167,147.3167,283.56,72,100,1.34,AU,1722894611
31,pozarevac,44.6153,21.1825,297.1,43,92,4.3,RS,1722894612
32,gaya,24.7833,85.0,302.22,74,100,2.36,IN,1722894613
